Wavelength	GRA-VIE-00145.asd
869	 0,167888215461422 
870	 0,167926483385316 
871	 0,167557852229839 
872	 0,167163243797944 
873	 0,167201354844702 
874	 0,167450006917601 
875	 0,167805331405277 
876	 0,168162370463829 
877	 0,168293733989848 
878	 0,168205733344533 
879	 0,168600987413035 
880	 0,168951392961327 
881	 0,168672739235044 
882	 0,168617124565492 
883	 0,168814582228843 
884	 0,168851861027443 
885	 0,169041510664135 
886	 0,169329300598155 
887	 0,168833566807114 
888	 0,168631465223257 
889	 0,169651095335852 
890	 0,169934698720079 
891	 0,169554403908139 
892	 0,169469072447789 
893	 0,169432153640546 
894	 0,169480179947196 
895	 0,170012569245067 
896	 0,170287259994834 
897	 0,169806845174542 
898	 0,169704970889691 
899	 0,169886412371892 
900	 0,169828650344384 
901	 0,170241966999988 
902	 0,170950704670782 
903	 0,170583141038859 
904	 0,170176097938141 
905	 0,170366434076048 
906	 0,17070950377357 
907	 0,170702001139595 
908	 0,169732729999356 
909	 0,170093700815241 
910	 0,171540932509467 
911	 0,171476709738483 
912	 0,17113052916687 
913	 0,171063668111403 
914	 0,171010468754276 
915	 0,171113208262383 
916	 0,171506406389925 
917	 0,171585850821602 
918	 0,171390929875928 
919	 0,171322959383091 
920	 0,171466775949787 
921	 0,171782567144654 
922	 0,17185134982613 
923	 0,171879112462471 
924	 0,172026640143287 
925	 0,171903803375236 
926	 0,171825701079947 
927	 0,172473785958271 
928	 0,172672352888556 
929	 0,172257717338493 
930	 0,171997411528062 
931	 0,171572891368984 
932	 0,171061608624883 
933	 0,172296674696065 
934	 0,173516070373809 
935	 0,172350555443988 
936	 0,17238046097382 
937	 0,173575385935552 
938	 0,173651048493039 
939	 0,172819126706848 
940	 0,171514947746002 
941	 0,171576449540566 
942	 0,172529620954031 
943	 0,173661251318486 
944	 0,173257506759451 
945	 0,172344184348916 
946	 0,173432501200591 
947	 0,173477865128777 
948	 0,172262484036004 
949	 0,172149440261928 
950	 0,172920941816811 
951	 0,174149052410209 
952	 0,173976127574916 
953	 0,173067158850148 
954	 0,172477279296574 
955	 0,171628625453312 
956	 0,170789218414664 
957	 0,17088559209118 
958	 0,170636518836359 
959	 0,170093619213942 
960	 0,171738045687705 
961	 0,173019670696605 
962	 0,172086128963421 
963	 0,171073210816031 
964	 0,170696306383079 
965	 0,171524737822589 
966	 0,170818139850169 
967	 0,169110893849983 
968	 0,170182419662229 
969	 0,172087023247675 
970	 0,173588920116615 
971	 0,17292082098362 
972	 0,172014993835285 
973	 0,172729662763649 
974	 0,174075334354573 
975	 0,175048457907857 
976	 0,17418041228882 
977	 0,173591614018844 
978	 0,173678625578921 
979	 0,173461869425135 
980	 0,173533191680531 
981	 0,174105993912338 
982	 0,17474361893409 
983	 0,175013792432614 
984	 0,174499073467814 
985	 0,172706656409756 
986	 0,170932050666337 
987	 0,171716511561153 
988	 0,173282079897659 
989	 0,174591190356938 
990	 0,173891334782601 
991	 0,173734499490805 
992	 0,175134071707326 
993	 0,17538621535725 
994	 0,174967999103307 
995	 0,174675550157201 
996	 0,175356871970108 
997	 0,176184291303229 
998	 0,175226910404831 
999	 0,1746725901156 
1000	 0,175142187613466 
1001	 0,176630960049136 
1002	 0,176630080178008 
1003	 0,174810106222226 
1004	 0,177401461164121 
1005	 0,179583534128578 
1006	 0,176969854388786 
1007	 0,180024421680127 
1008	 0,184066399756661 
1009	 0,177768835620566 
