Wavelength	GRA-VIE00427.asd
776	 0,138991503168969 
777	 0,139041435148045 
778	 0,139266912365269 
779	 0,139574981320804 
780	 0,139788740280204 
781	 0,140132728554887 
782	 0,140556321387597 
783	 0,140627260297889 
784	 0,140949294447157 
785	 0,141793070906941 
786	 0,141922853543092 
787	 0,141520526608864 
788	 0,141182724381771 
789	 0,141418749997111 
790	 0,142179716994258 
791	 0,142476304627748 
792	 0,142517740464154 
793	 0,142531369174085 
794	 0,142909736506761 
795	 0,143331809607505 
796	 0,142895323327026 
797	 0,142964135559247 
798	 0,143735571574953 
799	 0,143768585909322 
800	 0,143659484812489 
801	 0,144005330745638 
802	 0,144145829400564 
803	 0,144226731155469 
804	 0,144992693523199 
805	 0,145374004724022 
806	 0,145128638800784 
807	 0,145274592506957 
808	 0,145689048767097 
809	 0,146142002234617 
810	 0,146228392463423 
811	 0,146186072720859 
812	 0,146963077391631 
813	 0,147663467331705 
814	 0,147859006893665 
815	 0,147488138659339 
816	 0,147270054108738 
817	 0,148022891048286 
818	 0,148482420161676 
819	 0,148537715199467 
820	 0,148735993944064 
821	 0,149221364582334 
822	 0,149925488888046 
823	 0,149882010994625 
824	 0,149551828199711 
825	 0,149652227340033 
826	 0,150230371484379 
827	 0,150930403024429 
828	 0,150546116864584 
829	 0,150290107629413 
830	 0,150770007228022 
831	 0,151478786145012 
832	 0,151892476890952 
833	 0,151403348570474 
834	 0,151529546248828 
835	 0,152250358652444 
836	 0,152149213710617 
837	 0,152017342564741 
838	 0,152263026046968 
839	 0,152554842684565 
840	 0,152876569334191 
841	 0,153255123741975 
842	 0,153211594507847 
843	 0,152887194998966 
844	 0,153205738592938 
845	 0,153268095447284 
846	 0,152790461705978 
847	 0,153519314631779 
848	 0,154375053766643 
849	 0,153606089133851 
850	 0,153545730510204 
851	 0,154387315828151 
852	 0,154824080916215 
853	 0,154770344119012 
854	 0,154285893103768 
855	 0,154269598557966 
856	 0,154588151498245 
857	 0,15490010077122 
858	 0,155020011682941 
859	 0,154985365376213 
860	 0,155104363855447 
861	 0,155338675303848 
862	 0,155632432591533 
863	 0,155687817420465 
864	 0,15584913362761 
865	 0,156583810361171 
866	 0,157091232181424 
867	 0,157282639986643 
868	 0,157522740172675 
869	 0,157840280355152 
870	 0,158121513740667 
871	 0,157446671299117 
872	 0,156977280161775 
